SPRING SEMESTER 2014|||||||||||
|||||||||||
Section Name|Min Cred|Max Cred|Short Title|Faculty first name|Faculty Last Names (all faculty)|Building|Room|Start Time|End Time|Days|7 Wks
ATHTR-268-A|4||Clin II:Head,Neck,Thor,Abd Up|Brian|Solberg|REGE|305|11:00AM|12:30PM|TR|
ATHTR-368-A|4||Clin IV:Therap Mod & Exercise|Kristen|Agena|REGE|ATR|11:00AM|12:30PM|TR|
||||||REGE|28|11:00AM|12:30PM|TR|
ATHTR-370-A|2||Therapeutic Mod Ath Train|Kristen|Agena|REGE|218|11:00AM|12:00PM|MWF|First 7 weeks
ATHTR-372-A|2||Therapeutic Exer Ath Train|Kristen|Agena|REGE|218|11:00AM|12:00PM|MWF|Second 7 weeks
ATHTR-375-A|1|4|Directed Readings|Kristen|Agena|ARR|ARR||||
ATHTR-468-A|2||Clin VI:Advanced Health Care|Kristen|Agena|REGE|305|12:45PM|02:15PM|TR|First 7 weeks
ATHTR-490-A|1||Senior Project|Ellen|Drewes-Stoen|ARR|ARR||||
BIO-152-A|4||Principles: Molecules/Cells|Scott|Carlson,Enos-Berlage,Shields,Lewis,Strand|VALD|206|11:00AM|12:00PM|MWF|
BIO-152L-A01|0||Principles: Molec/Cells Lab|Mary|Lewis,Carlson|SAMP|274|01:30PM|03:30PM|M|
BIO-152L-A02|0||Principles: Molec/Cells Lab|S|Shields,Carlson|SAMP|274|03:45PM|05:45PM|M|
BIO-152L-A03|0||Principles: Molec/Cells Lab|Mary|Lewis,Carlson|SAMP|274|07:30AM|09:30AM|T|
BIO-152L-A04|0||Principles: Molec/Cells Lab|S|Shields,Carlson|SAMP|274|11:00AM|01:00PM|T|
BIO-152L-A05|0||Principles: Molec/Cells Lab|Mary|Lewis,Carlson|SAMP|274|01:15PM|03:15PM|T|
BIO-152L-A06|0||Principles: Molec/Cells Lab|S|Shields,Carlson|SAMP|274|03:30PM|05:30PM|T|
BIO-152L-A07|0||Principles: Molec/Cells Lab|Jodi|Enos-Berlage,Carlson|SAMP|274|08:00AM|10:00AM|W|
BIO-152L-A08|0||Principles: Molec/Cells Lab|Scott|Carlson|SAMP|274|01:30PM|03:30PM|W|
BIO-152L-A09|0||Principles: Molec/Cells Lab|Guinevere|Strand,Carlson|SAMP|274|07:30AM|09:30AM|R|
BIO-152L-A10|0||Principles: Molec/Cells Lab|S|Shields,Carlson|SAMP|274|11:00AM|01:00PM|R|
BIO-152L-A11|0||Principles: Molec/Cells Lab|Mary|Lewis,Carlson|SAMP|274|01:15PM|03:15PM|R|
BIO-239-A|4||ST:Intro Biophysics of Cell|S|Shields|OLIN|213|01:30PM|02:30PM|MWF|
BIO-246-A|2||Ornithology|Tex|Sordahl|VALD|271|08:00AM|10:15AM|MWF|Second 7 weeks
BIO-248-A|4||Genetics|Marian|Kaehler,Strand|OLIN|102|11:00AM|12:00PM|MWF|
