Fall 2014 courses|||||||||||
|||||||||||
Section Name|Min Cred|Max Cred|Short Title|Faculty First Name|Faculty Last Names (all faculty)|Building|Room|Start Time|End Time|Days|7 Wks
BIO-115L-A04|0||Human Anatomy Lab|Mary|Lewis|SAMP|153|03:15PM|04:45PM|MW|
BIO-116-A|4||Intro to Human Physiology|Mark|Eichinger|OLIN|102|09:15AM|10:15AM|MWF|
BIO-116L-A01|0||Intro to Human Physiology Lab|Mark|Eichinger|SAMP|175|01:30PM|03:30PM|T|
BIO-116L-A02|0||Intro to Human Physiology Lab|Mark|Eichinger|SAMP|175|01:30PM|03:30PM|W|
BIO-116L-A03|0||Intro to Human Physiology Lab|Mark|Eichinger|SAMP|175|11:00AM|01:00PM|F|
BIO-116L-A04|0||Intro to Human Physiology Lab|Mark|Eichinger|SAMP|175|01:30PM|03:30PM|R|
BIO-139-A|4||ST:Creat Prob Solv Sci|S|Shields|VALD|262|01:30PM|02:30PM|MWF|
BIO-151-A|4||Prin Bio:Eco/Evol/Biodiv|Kirk|Larsen,Lynch,McNicoll|VALD|206|11:00AM|12:00PM|MWF|
BIO-151L-A01|0||Prin Bio Lab:Eco/Evol/Biodiv|Kirk|Larsen|SAMP|274|01:30PM|03:30PM|M|
BIO-151L-A02|0||Prin Bio Lab:Eco/Evol/Biodiv|Kirk|Larsen|SAMP|274|03:45PM|05:45PM|M|
BIO-151L-A03|0||Prin Bio Lab:Eco/Evol/Biodiv|Kirk|Larsen|SAMP|274|07:30AM|09:30AM|T|
BIO-151L-A04|0||Prin Bio Lab:Eco/Evol/Biodiv|Kirk|Larsen|SAMP|274|11:00AM|01:00PM|T|
BIO-151L-A05|0||Prin Bio Lab:Eco/Evol/Biodiv|Kirk|Larsen|SAMP|274|01:15PM|03:15PM|T|
BIO-151L-A06|0||Prin Bio Lab:Eco/Evol/Biodiv|Kirk|Larsen|SAMP|274|03:30PM|05:30PM|T|
BIO-151L-A07|0||Prin Bio Lab:Eco/Evol/Biodiv|Kirk|Larsen|SAMP|274|08:00AM|10:00AM|W|
BIO-151L-A08|0||Prin Bio Lab:Eco/Evol/Biodiv|Kirk|Larsen|SAMP|274|01:30PM|03:30PM|W|
BIO-151L-A09|0||Prin Bio Lab:Eco/Evol/Biodiv|Kirk|Larsen|SAMP|274|07:30AM|09:30AM|R|
